Gemeindenamen;Kanton;Jahr;Art der Entstehung
La Tène;NE;2009;Fusion de Marin-Epagnier et Thielle-Wavre 
Mörel-Filet;VS;2009;Vereinigung von Filet und Mörel
Mundaun;GR;2009;Vereinigung von Flond und Surcuolm
Neckertal;SG;2009;Vereinigung von Brunnadern, St. Peterzell und Mogelsberg
Obergoms;VS;2009;Vereinigung von Obergesteln, Oberwald und Ulrichen
Steg-Hohtenn;VS;2009;Vereinigung von Hohtenn und Steg
Tomils;GR;2009;Vereinigung von Feldis/Veulden, Scheid, Trans und Tumegl/Tomils 
Tschiertschen-Praden;GR;2009;Vereinigung von Praden und Tschiertschen
Val Müstair;GR;2009;Vereinigung von Fuldera, Lü, Müstair, Sta. Maria Val Müstair, Tschierv und Valchava
Val-de-Travers;NE;2009;Fusion de Les Bayards, Boveresse, Buttes, Couvet, Fleurier, Môtiers (NE), Noiraigue, Saint-Sulpice (NE) et Travers
Bregaglia;GR;2010;Vereinigung von Bondo, Castasegna, Soglio, Stampa und Vicosoprano
Gambarogno;TI;2010;Fusione di Caviano, Contone, Gerra (Gambarogno), Indemini ,Magadino, Piazzogna, San Nazzaro, Sant'Abbondio e Vira (Gambarogno)
Mettauertal;AG;2010;Vereinigung von Etzgen, Hottwil, Mettau, Oberhofen (AG) und Wil (AG)
Monteceneri;TI;2010;Fusione di Medeglia, Bironico, Camignolo, Rivera e Sigirino
Twann-Tüscherz;BE;2010;Vereinigung von Tüscherz-Alfermée und Twann
Wildhaus-Alt St. Johann;SG;2010;Vereinigung von Alt St. Johann und Wildhaus
Bourg-en-Lavaux;VD;2011;Fusion de Cully, Epesses, Grandvaux, Riex et Villette (Lavaux)
Glarus;GL;2011;Vereinigung von Ennenda, Glarus, Netstal und Riedern
Glarus Nord;GL;2011;Vereinigung von Bilten, Filzbach, Mollis, Mühlehorn, Näfels, Niederurnen Oberurnen und Obstalden
Glarus Süd;GL;2011;Vereinigung von Betschwanden, Braunwald, Elm, Engi, Haslen, Linthal, Luchsingen, Matt, Mitlödi, Rüti (GL), Schwanden (GL), Schwändi und Sool
Goumoëns;VD;2011;Fusion d’Eclagnens, Goumoens-la-Ville et Goumoens-le-Jux
Jorat-Menthue;VD;2011;Fusion de Villars-Tiercelin, Montaubion-Chardonney, Sottens, Villars-Mendraz et Peney-le-Jorat
Montilliez;VD;2011;Fusion de Dommartin, Naz, Poliez-le-Grand et Sugnens
Mont-Noble;VS;2011;Fusion de Mase, Nax et Vernamiège
Schwarzenburg;BE;2011;Vereinigung von Albligen und Wahlern
Tévenon;VD;2011;Fusion de Fontanezier, Romairon, Vaugondry et Villars-Burquin
Valbroye;VD;2011;Fusion de Cerniaz (VD), Combremont-le-Grand, Combremont-le-Petit, Granges-près-Marnand, Marnand, Sassel, Seigneux et Villars-Bramard
Vully-les-Lacs;VD;2011;Fusion de Bellerive (VD), Chabrey, Constantine, Montmagny, Mur (VD), Vallamand et Villars-le-Grand
